sentences ,level

د. الخردجي: في الحقيقة هذه الورشة تقع في إطار مشروع من الأمم المتحدة ""ديفيلوبمنت أكاونت"" وهذا المشروع بيتناول موضوع المياه المشتركة الجوفية، وده موضوع لم يتناوله كثير من الناس وظل مهمل، ولكن في إطار نقص المياه وتدهور نوعيتها في المنطقة بنتوقع إن جميع الدول سوف تنظر وتبحث في إمكانية استغلال هذه المياه وإن لم يكن هناك كفاءات وقدرات تستطيع إنها تتناول هذا الموضوع بشكل تفاهمي مشترك ما بين الدول ممكن تحصل بعض المشاكل للتنافس على الحصول على هذه المياه.

المذيعة: المياه اللي إحنا بنتكلم عنَّها دي لم تستغل بعد؟

د. الخردجي: آه... مظبوت وهي لم تستغل بالشكل الكامل، جزء منها بيستغل بشكل ""يونيلاترل"" أو كل دولة منفصلة دون النظر لمصالح الدولة الأخرى. ما نفعله الآن من خلال هذا المشروع إن إحنا بنرفع قدرات هذه البلدان بحيث أنها تستطيع تتفهم إن في فائدة مشتركة يمكن تعظيمها من خلال التعاون حول إدارة هذا المورد المشترك.

المذيعة: عظيم. هل يمكن أن تعطينا فكرة عن المشروع اللي يقوم به الإسكوا بشكل عام حول التعاون في هذا المجال؟

د. الخردجي: هذا المشروع بدأ من حوالي سنتين بدأ تنفيذه ولكن تم الإعداد له لعدة سنوات سابقة وبيتم في إطار أيضاً التعاون ما بين مختلف اللجان الإقليمية، فهذا المشروع بنتعاون في اللجنة الاقتصادية لغربي آسيا واللجنة الاقتصادية لأفريقيا وكذلك اللجنة الاقتصادية لأوروبا. السبب من وراء هذا إن المياه التي تأتي إلى بلدان منطقة الإسكوا تعتبر تمانين في الميَّة من المياه المتجددة تأتي من خارج المنطقة، وبالتالي هي تأتي إمَّا من تركيا والتي تتبع أوروبا أو من أفريقيا ودي تتبع اللجنة الاقتصادية لأفريقيا.
",B+
"المذيع: تحت عنوان البطالة ومجلس السلم الأهلي أقام مجلس السلم والتضامن العراقي ندوة حول البطالة وآثارها السلبية على شريحة الشباب على وجه الخصوص وبقية الشرائح المختلفة. وتناول الباحثون في الندوة الأسباب التي تكمن خلف هذه الظاهرة وأكدوا على أهمية أن تتخذ السلطات خطوات جادة لمعالجة هذه المشكلة الخطيرة.

د. إبراهيم عباس رئيس فرع منظمة السلم والتضامن في بغداد تحدث لبرنامج تحديات عن ظاهرة البطالة قائلاً

د. إبراهيم عباس: الأسباب الرئيسية معروفة الفساد الإداري، الوضع الأمني، الاحتلال، ضعف السلطة، عدم مشاركة الأحزاب الوطنية اللي لها دور ولها بعد بعيد إنه كيفية محاربة البطالة لعدم إشراك الأحزاب السياسية الوطنية في بلدنا في هذا المجال.

المذيع: وهذا السيد ثامر ضهيمس عضو مجلس السلم والتضامن

السيد ثامر ضهيمس: الإحصائيات المتاحة الآن من خلال الصحف وما نشر في وزارة التخطيط وصلت كمعدل عام من 28 إلى 30% كمعدل عام ولكن هذا يعني أنه أكو بطالة موجودة أكثر من هذا العدد... أكبر من هذه النسبة في بعض المحافظات ومحافظات تكون أقل واللي هي معروف عنها هي كربلاء نظراً للمواسم السياحية والدينية اللي يصير بها لذلك البطالة أقل كانت قياساَ والشمال المنطقة الكردية منطقة كردستان أقل بطالة والبطالة الأكثر انتشاراً الآن هي بالأنبار للظروف الأمنية الموجودة.
",B+
"وُلد مراد غالب في محافظة الشرقية في مصر عام 1922. نشأ في حي مصر الجديدة في القاهرة، وتخرج من كلية الطب، وعمل أستاذاً بطب الإسكندرية، بعدما حصل على الدكتوراه في طب الأنف والأذن والحنجرة. كان على علاقة وثيقة بثلاثة من ضباط ثورة يوليو عام 52، هم: صلاح الدسوقي، وكمال رفعت، وحسن التهامي. وقد لعبت هذه العلاقة دوراً في توطيد العلاقة بعد قيام الثورة بين مراد غالب وجمال عبد الناصر، الذي طلب منه أن يترك الطب، وأن يتفرغ للعمل السياسي.

وفي العام 53 عيـّنه عبد الناصر سكرتيراً ثالثاً في السفارة المصرية في موسكو، مرافقاً للسفير، الفريق عزيز المصري الذي كان غالب مع رفاقه الثلاثة على علاقة وثيقة به. بقي غالب في موسكو حتى العام 58 حيث أتقن اللغة الروسية، ونجح في صناعة علاقات وثيقة مع السوفييت. بعد ذلك استدعاه عبد الناصر من موسكو إلى القاهرة وعيـّنه مستشاراً سياسياً له. ثم عُيـّن في العام 59 وكيلاً لوزارة الخارجية المصرية. ثم عيـّنه عبد الناصر سفيراً لمصر في الكونغو، حيث كان شاهداً على كافة الأحداث التي وقعت هناك فيما عرف آنذاك بأزمة الكونغو. أعاده عبد الناصر مرة أخرى إلى موسكو عام 61، ولكن سفيراً هذه المرة، وبقي هناك إلى العام 72. وقد لعب غالب دوراً كبيراً في توطيد العلاقات بين مصر والاتحاد السوفييتي من خلال علاقاته الوثيقة بكبار القادة السوفييت، حتى لُقب بأنه مهندس العلاقات المصرية- السوفييتية.

أعاده السادات إلى مصر بعد طرد الخبراء السوفييت، وعينه وزيراً للخارجية المصرية، ثم وزيراً للإعلام لعدة أشهر. ثم عيـّنه في العام 73 وزيراً للوحدة بين مصر وليبيا، ثم سفيراً لمصر بعد ذلك في يوغوسلافيا، حيث أعلن مراد غالب في نوفمبر عام 77 مع كل من وزير الخارجية المصري آنذاك، إسماعيل فهمي، وسفير مصر في لندن، الفريق سعد الدين الشاذلي استقالتهم احتجاجاً على إعلان السادات ذهابه إلى القدس، وعقد صلح مع إسرائيل.

انتُخب مراد غالب في العام 88 رئيساً لمنظمة الشعوب الأفرو- آسيوية. وظل في منصبه إلى أن توفي صباح الثلاثاء الثامن عشر من ديسمبر عام 2007.
",B+
"أدت الصراعات الدائرة في العراق إلى تغير دور المرأة العراقية في المجتمع بسبب غياب عدد كبير من الرجال. في التقرير التالي، تستعرض داليا بسيوني آثار الاضطرابات على المرأة.

""أصبح همنا الأول والأخير هو البقاء على قيد الحياة.""

يعاني العراق من آثار سنوات من الاضطرابات والصراعات وتعاني المرأة في هذا المجتمع بشكل مضاعف. وتؤكد الكاتبة العراقية هيفاء زنجانة والمشاركة في إعداد تقرير نحو نهوض المرأة في الوطن العربي- تؤكد– أنه في السنوات الثلاث الأخيرة خسرت المرأة العراقية الكثير مما حققته على مدى الخمسين عاماً الماضية على كافة الأصعدة.

""من ناحية التعليم مثلاً، نسبة ثلاثين بالمية (بالمائة) من الطلاب فقط تمكنوا من بدء العام الدراسي الحالي وأقل من نصف هذه النسبة أيضاً هم من الفتيات، وبالتالي العراق الذي كان واحداً من أهم المحطات التعليمية في الوطن العربي- الآن أصبح مكاناً للأمية.""

وإلى جانب حرمان الفتيات من التعليم، استهدفت البطالة المرأة بالدرجة الأولى لأن عدداً كبيراً من النساء كن موظفات لدى الدولة وفي ظل تفكك الدولة خسرن وظائفهن كما تدهور وضعهن الصحي بدرجة كبيرة. ""هناك إشكالية كبيرة جداً طبعاً بالنسبة للصحة لعدم توفر الدواء وحتى في معالجة الأمراض البسيطة التي يمكن بسرعة وبسهولة تفاديها، أصبحت المرأة، والطفل طبعاً أيضاً، ضحية سهلة لها.""

وأدى تزايد الصراعات إلى إجبار ما يقارب أربعة (4) ملايين عراقي على مغادرة منازلهم. فوفق تقديرات المفوضية العليا لشئون اللاجئين هناك مليون وسبعمائة ألف مُشرّد داخلياً، إضافة إلى مليوني عراقي نزحوا خارج البلاد. وتشير هيفاء زنجانة إلى تأثير هذه العوامل من صراعات داخلية وتفجيرات وبطالة وفقر وتشرّد داخلي وهجرة خارجية على المجتمع العراقي، حيث انعكست آثار ذلك بشكل أسوأ على وضع المرأة مما أدى إلى زيادة استغلال النساء والفتيات. كما تغير دور المرأة في المجتمع في السنوات الأخيرة.

""السنوات الثلاث الأولى من الاحتلال مثلاً كانت المرأة هي التي تُحمى، وتُمنع من الخروج من البيت إلى المكان العام إلى الأسواق حماية لها من قِبل الرجل. في العام الأخير شاهدنا تغيراً ملحوظاً وهذا قد يكون سبباً لقتل عدد أكبر من النساء، هو أن الرجل بحكم الحرب أو حالياً النزاع الذي يستهدف الرجل أولاً والولد والصبي والابن، فالمرأة مضطرة هي للخروج لأداء المهام العامة في المجتمع.""

وترفض زنجانة تصوير المرأة العراقية كضحية ضعيفة خاضعة لظروفها، بل كمناضلة وسط هذه التحديات. ويبقى أهم تحدٍ أمام المرأة العراقية وسط هذه الظروف... أن تبقى على قيد الحياة.
",B+
"المذيع: ""وخطة بغداد الأمنية التي لم تفلح حتى في تأمين سلامة رئيس الحكومة العراقية وكبار الموظفين المدنيين والعسكريين فضلاً عن الناس العاديين، كانت ولا تزال ذريعة صالحة لحصار المناطق في العاصمة العراقية.""

المذيعة: ""أيمن، حي الكرادة هو خامس أحياء بغداد التي تشهد تطبيقاً صارماً لهذه الخطة. فمنذ أيام، أول أيام عيد الفطر والحيّ مغلق والتفتيش الدقيق يتنقل من بيت إلى آخر، فيما الرعب يشارك أهل الحي كل تفاصيل حياتهم: مراسلنا عبد اللطيف العمر زار حيّ الكرادة ووفانا بالتقرير التالي"":

المراسل الصحفي: ""منذ أول أيام العيد انضم حي الكرادة وسط بغداد إلى باقي الأحياء المحاصرة في العاصمة. قوات أمريكية وعراقية تغلق المداخل والمخارج. همز ولمز وتفتيش دقيق لكل منزل في هذا الحي. لا اِستثناءات ولا مجاملات، فالقصة على ما يبدو لا تحتمل التأخير ولا المزاح.""

شخص من أهل الحي: ""الكرادة صايرة مثل ما تشوف هاي، ازدحامات وهوسات وهذا علمود شغلة لو هي أكذوبة لو هي صحيحة، علمود واحد أمريكي على اساس مخطوف من الكرادة."" المراسل الصحفي: ""في المقاهي يدور الحديث ذاته بعيداً عن أعين الكاميرا. حتى الجيش الأمريكي الذي أذن لنا بالتصوير أكد حادثة الاختطاف لكنه رفض التصريح.

""أما القوات العراقية فقالت إن حصار الكرادة يأتي في إطار خطة أمن بغداد. لكن القصة لم تنتهي عند هذا الحد، فلأهالي المنطقة معاناتهم من جراء هذا الحصار. شخص آخر من أهل الحي: ""حتى عوالنا تبهدلت، تبهدلنا نحنا، ما يصير هذا مو وضع هذا، انكلهم ليش مسدود الطريق حتى نفسهم اهل السياراتنا. يقول الشارع مقطوع لأن الأمريكان يفتشون، اكو جماعة ثانية يقولون لا، اكو جنود أمريكان متيهين ما ادري ضايعين.""

المراسل الصحفي: ""الكرادة ليست الحي الوحيد المحاصر في بغداد، فمدينة الصدر شرقي العاصمة تخضع منذ أيام هي الأخرى لطوق أمنيّ شديد لكن لسبب مختلف. فالبحث عن فرق الموت بالقوات الأمريكية في هذا الحي ذو الغالبية الشيعية، وبين البحث عن الجندي المختطف في صناديق السيارات، وعن فرق الموت في دهاليز مدينة الصدر، تعيش العاصمة هماً جديداً يضاف إلى همومها والجميع دائماً يسأل عن الأمن المفقود. من بغداد– عبد اللطيف العمر– تلفزيون دبي.""
",B+
"ضمن نشاطات منظمات المجتمع المدني عقد التحالف المسمى تحالف عهد العراق ندوة دراسية في بغداد مؤخراً استضاف فيها برلمانيين وسياسيين ومختصين بالقانون لمناقشة قانون المفوضية العليا لحقوق الإنسان. فريق البرنامج التقى على هامش الندوة مع العديد من الشخصيات المهتمة بالموضوع وكانت أولهم السيدة أزهارالشيخلي رئيسة تحالف عهد العراق التي تحدثت لنا في البداية عن الأهداف التي عقدت من أجلها الندوة.

""هذه الندوة هي الندوة الأخيرة في سلسلة ندوات أقامها عهد العراق بصدد شرح مضامين المشاريع القوانين التي ينوي أن يقدمها إلى البرلمان إن شاء الله في الخامس عشر من شهر أيلول القادم، وكانت الندوات السابقة تدور حول مبدأ تكافئ الفرص وحرية التعبير عن الرأي والمحكمة الاتحادية العليا والمادة واحد وأربعين الخاصة بالأحوال الشخصية في الدستور العراقي. أما هذه الندوة فهي بخصوص المفوضية العليا لحقوق الإنسان وأيضاً مبدأ تكافئ الفرص باعتبار في العهد قدمنا قانون منفصل عن هذا المبدأ واعتبرناه مبدأ يعني مهم جداً يقتضي أن نصدر له أو نأسس له في هذه المرحلة الجديدة من مراحل العراق السياسي الجديد..""

""نحن لا نعمل أساساً على تعديل الدستور... نحن نعمل على عبارة وننظم ذلك بالقانون التي وردت في أكثر من خمسة وخمسين مادة في الدستور... استناداً لهذه المادة نريد أن نهيئ أو نقدم مشروعات قوانين إلى البرلمان استناداً إلى هذه المادة. فنحن لا نعمل على تعديل الدستور ولا سيما نحن نعرف مسبقاً أنه عملية التعديل تمر بإجراءات معقدة دستورنا الحالي من قبيل الدساتير الجامدة ولا سيما عندما وضعوا شرطاً أساسياً لمرور مشروع التعديل أن يحصل على موافقة الأغلبية ... في ثلاث محافظات بالاستفتاء وهذه مسألة جداً عسيرة التحقق... عسيرة التحقق لذلك لجأنا إلى وسيلة أخرى هو أن نقدم مشروعات قوانين إلى البرلمان وممكن هذه المشروعات أن تمنح نفساً وروحاً جديدةً للنص الدستوري"".
",B+
"المذيع: أهلاً بكم من جديد، دبي دخلت الزمن العالمي فعند الساعة الثانية من بعد ظهر اليوم، كانت دبي تفتح أبوابها أمام تداولات العالم.

المذيعة: إنها بورصة دبي العالمية التي اُفتتحت باحتفال ٍ رسميّ في مقرها بمركز دبي التجاري العالمي لتكون أول بورصة مالية عالمية بالمعنى الحقيقي في المنطقة الممتدة بين غرب اوربا وشرق آسيا، فاطمة طويل:

المراسلة (فاطمة طويل) : وُجهة ٌ سياحيّة ٌ اِقتصادية تطفو على الخارطة، هكذا عرفها العالم لكنها اليوم أيضاً تتحول إلى دبي الوجهة المالية. ها هي بورصة ٌ مالية ٌ عالمية تنبض للمرة الأولى في المنطقة، بورصة دبي أو DIFX انطلقت من هنا نحو العالم بتداول شهادات ٍ لأبرز المؤشرات الأوروبية والأمريكية واليابانية.

المتحدث (المترجم) : DIFX ستوفر إصدارات ٍ للمستثمرين تضمن لهم سيولة ليست متوفرة في المنطقة.

المراسلة (فاطمة طويل): أربعة مصارف عالمية باتت في عضوية هذه البورصة منذ اليوم فيما تتوقع إدارتها أن تدرج نحو خمسة عشر شركة اسهمها من خلال إصداراتٍ أولية عامة خلال ثمانية عشر شهراً من تدشينها. وهي ربما تحتضن ما بين أربعين إلى خمسين وسيطاً مالياً حتى نهاية العام الفين وستة.

المراسلة: بورصة دبي المالية ستعزز من الشفافية المالية من خلال التنظيم الجيد لعمل البورصة وحيادية إدارتها.

أحد المتحدثين (أثناء المقابلة): أهم أهداف بورصة دبي العالمية أن نعني نوفر فرص للشركات المحليين... المحليات المنطقية للحصول على بورصة ومستثمر عبر البورصة يكون يعني من كل انحاء العالم.

المراسلة: طموحاتٌ إماراتية لا تقف عند حدود الوطن بل هي تمتد كجسر ٍ مالي وسياحي يعانق أطراف أوروبا وآسيا.
",B+
"دراسة تحذر من التباطؤ في إقرار الإصلاحات في اليمن
حذرت دراسة أكاديمية من انه إذا لم تعمد السلطات في اليمن إلى إقرار إصلاحات سياسية واقتصادية جوهرية فان البلاد ستتحول إلى ""دولة هشة"". وطالبت الدراسة التي أعدها أستاذ القانون بجامعة صنعاء الدكتور محمد مغرم بإجراء تغيير وإصلاح سياسي ومؤسسي في الفترة الرئاسية المقبلة يؤدى إلى إحداث بناء تشريعي وقانوني ويحقق ما طالبت به القوى السياسية قبل الاستحقاقات الانتخابية.

وذهبت الدراسة التي حصلت يوناتيد برس انترناشونال على نسخة منها إلى أن ""الطوفان الذي سيشهده اليمن في حال لم يستفد من الفترة الرئاسية القادمة هو التحول إلى دولة هشة تواجه مخاطر التحول إلى دولة فاشلة"". وفى هذه الدولة،كما تقول الدراسة، ""تتآكل شرعية النظام ويتلاشى ما تبقى له من تأييد نظراً لعجزه عن تلبية احتياجات الشعب وتنزلق الدولة بالتالي سريعاً إلى الفوضى، حيث يحتمل لجوء البعض إلى بدائل، منها الاحتجاج العنيف الذي تتزايد معه فرص الاقتتال الداخلي."" وقد يفضى ذلك ""إلى تداول للسلطة يتأتى عن العنف المسلح.""

وهدفت الدراسة، بحسب واضعها، إلى تشخيص المجالات التشريعية في بناء الدولة وأهم التحديات الإستراتيجية التي ستواجه اليمن خلال الفترة الرئاسية القادمة. وشدد على أن ""اليمن بحاجة خلال الفترة المقبلة إلى سياسات مختلفة عن السياسات المتبعة حتى الآن."" وقالت الدراسة إن الوضع المؤسسي لأجهزة ومرافق الدولة في اليمن يتسم بتضخم الهيكل التنظيمي والوظيفي في الحكومة وسوء تخصيص القوى العاملة، وعدم خضوع الاختيار والتعيين في الوظيفة العامة للكفاءة والملائمة. وأشارت إلى فشل عدد كبير من مشروعات القطاع العام والمختلط، والتنازع والتداخل في المسؤوليات بين الوزارات.

وخلصت الدراسة إلى ضرورة العمل على ترسيخ الممارسة الديمقراطية وإقرار إصلاحات في السلطة القضائية، إلا أن كل المبادرات في هذا السياق والتي تمت بالتعاون مع الأمم المتحدة، والبنك الدولي، وصندوق النقد الدولي، والاتحاد الأوروبي، وفرنسا، والمملكة المتحدة، وأيضاً مع العديد من الشركاء العرب من أجل التسريع في عملية الإصلاح والبناء المؤسسي لم تؤد إلىٌ النتائج المرجوة منها، وفق ما قالت الدراسة.
",B+
"المضيفة: عندما تكون هناك هوية مزدوجة ، هل يعني ذلك بالضرورة ولاءً مزدوِجاً؟

الدكتور الراعي: أولاً لنحدد الهوية ! الهوية ليست بطاقة ...يُكتب عليها انتماء شخص لوطن...... الهوية هي.. تنتُج عن تفاعل عمودي بين انسان وأرض وبيئة... وتفاعل أُفُقي بين انسان وأُناس اخرين... ويتكون من نتيجة ذلك مجموعة من العادات والتقاليد والقيم ومن ضمن .. من أبرز هذه القيم ...قيمة الانتماء الوطني... إلى هذا ...هذه البيئة... إلى هذه الأرض ...إلى هذه المجموعة. وعندما يغادر الانسان أرضه ويغادر ناسه أيضاً... ويغادر بيئته بما ...تضمن من كل العناصر ويأتي إلى بيئة أخرى يتفاعل مع البيئة الجديدة ويحمل دائماً معه إنتمائه الاساسي وإنما من خلال تفاعله مع البيئة الجديدة يكتسب هوية جديدة. فهو لايصبح إطلاقاً كما كان بهويته الاصلية ولايصبح انساناً ضمن الهوية الجديدة... وهنا يعيش حالة التناقض أو صراع الهويات بداخله : هل هو يعيش بهويته الاصلية ضمن بيئة أخرى أو يعيش في الهوية الجديدة؟
",B+
"مُقدم البرنامج: مرحباً بكم مشاهدينا الكرام في حلقة اليوم من المشهد العراقي. في هذه الحلقة سنسلط الضوء على حملة الاعتقالات الأخيرة التي نفذتها الحكومة في مدن وسط وغربي العراق، والتي أثارت جدلاً واسعاً داخل مجلس النواب العراقي وخارجه. وفُسرت على أن هدفها سياسي بالدرجة الأولى. فما هي خلفيات هذه الحملة الأمنية؟ وما هي دوافعها؟ وهل للتوقيت علاقة بالحدث أم أن جهود الحكومة تصب في إطار تهيئة الأجواء الأمنية قبيل الانتخابات النيابية المهمة مطلع العام القادم؟ وهل تعني الاعتقالات الأخيرة موتاً فعلياً لقانون العفو العام المعطل؟ هذه التساؤلات وغيرها سنطرحها على ضيفينا من الموصل، الأستاذ عز الدين الدوله، عضو مجلس النواب العراقي، ومن بغداد الأستاذ خالد الأسدي، عضو مجلس النواب العراقي والقيادي في حزب الدعوة لتنظيم العراق.

(الحوار التالي مأخوذ من جزء لحوار تلفزيوني مُطول)

مُقدم البرنامج: أستاذ عز الدين، اعترضتم في مجلس النواب كثيراً على حملة الاعتقالات، وشككتم في نوايا الحكومة. ما الذي جعلكم تعتزمون هكذا؟

ضيف البرنامج: باسم الله الرحمن الرحيم. بكل تأكيد كي لا يساء التفسير، نحن ندعم موقف الحكومة في ملاحقة الإرهاب. هاذي ابتداءً. ونحن من دعاة تشكيل قيادة عمليات نينوى في الموصل. لكن الذي حصل، أن هناك، ظهرت هناك حملة منظمة في محافظات؛ نينوى، الأنبار، ديالا، صلاح الدين، وفي مناطق من بغداد، وبشكل مثير للانتباه، الذي أثار انتباهنا في أداء القطاعات. اليوم كان هناك أداء غير حميد لهذه القطعات في هذه المدن، وصل إلى حد خلق العدوات بين هذه القطعات وبين الجمهور، الذين دخلوا إلى بيوتهم ودورهم في غياهب الليل. لهذا اعترضنا على الطريقة في الأداء، اعترضنا على مقاطعة الحكومات المحلية. هل يعقل أن تقاطع الحكومة المحلية في نينوى؟ سوف أتحدث بالتخصيص عن نينوى لمتابعة.

مُقدم البرنامج:  أستاذ عز الدين، إشارتك إلى الموصل، وصلاح الدين، والأنبار، وبعض مناطق بغداد. هل هي إشارة إلى أن الحكومة استهدفت المكون السني، الطائفة السنية في الاعتقالات دون غيرها؟ 

ضيف البرنامج: بكل تأكيد، كليبرالي لا أقصد هذا.
",B+
"من أبرز التحديات التي تواجه الصناعة العراقية والصناعيين اليوم هو ضعف عملية السيطرة النوعية على البضائع المنتجة التي يجب أن تتكفل بها السلطات الحكومية وهناك تحديات أخرى لا تقل أهمية ترتبط كذلك بالسلطات وما يجب أن توليه من اهتمام لهذا القطاع الحيوي والمهم.

فريق برنامج ""تحديات"" التقى مع عدد من الصناعيين للحديث عن أهم المصاعب التي تواجه الصناعة العراقية في الزمن الراهن. الصناعي مهدي عريبي صاحب عمل دباغة الجلود لفت الانتباه إلى قدم الآلة الصناعية وانخفاض مستويات رأس المال وقضايا أخرى مهمة.

""معوقات الصناعة في العراق كثيرة ... يعني لو نلخصها بنقاط... يعني أولاً قدم الآلة الصناعية والمعامل بشكل كبير جداً... يعني، اثنين قدم أساليب الإنتاج وكونها متأخرة عن الأساليب الموجودة في العالم المعاصر، ثلاثة ضعف الخبرات، نقطة رابعة يعني... نجول انخفاض مستويات رأس المال وعدم دعم المصارف والدولة للمشاريع الصناعية الحديثة. نقطة أخرى ارتفاع أجور العمال وتكاليف الإنتاج... هذا أدى إلى ارتفاع سعر المادة وبالتالي عدم قدرة الصناعي على تسويقها ومنافستها للمواد المستوردة من الخارج يعني نفس المادة تصنع في العراق بسعر يزيد عن سعر المادة المستوردة ويمكن المادة المستوردة أفضل يعني... إحنا خلينا نكون واقعيين.""
",B+
"المضيف: أهلاً بكم من جديد. أصدر سمو الشيخ حمدان بن محمّد بن راشد آل مكتوم، رئيس المجلس التنفيذي بإمارة دبي، القرار رقم 38  2007 والذي ينص على تأسيس جهاز الرقابة المدرسية في هيئة المعرفة والتنمية البشرية في دبي. وسيتولى جهاز الرقابة المدرسية مسؤولية أعمال المنشآت العامة في قطاع التعليم في الإمارة، بما في ذلك دور الحضانة. وحدّد القرار المهام التي سيقوم بها، وتشمل؛ وضع معايير جودة التعليم، وأساليب إدارتها وتطويرها، بما في ذلك المؤشرات التي تكفل قياس تلك المعايير، ومتابعتها وتقييمها. كما تشمل اعتماد نظام وضع التقارير التي تكفل قياس الأداء، ونشر التقارير التي تقدم عن المدارس الحكومية والخاصة في الإمارة كل على حدة للوصول إلى الشفافية الكاملة، بما يضمن الحصول على فرص تعليم عالي الجودة. ومراقبة المدارس غير الملتزمة بمعايير جودة التعليم المعتمدة. ووضع الإجراءات العملية اللازمة للنهوض بتلك المدارس إلى المستوى اللازم.

المضيف: أخت جميلة، أهلاً وسهلاً فيك. طبعاً نحنا شفنا جهاز الرقابة الجديد. كيف تم إنشاء هذا الجهاز؟ وما هو؟

الضيفة: باسم الله الرحمان الرحيم. تم إنشاء هذا الجهاز تماماً على الخطة الاستراتيجية التي وضعتها دبي. من ضمن الخطة، هدف محدّد هو تحسين مخرجات التعليم. فعملت الهيئة منذ تأسيسها على تحسين مخرجات التعليم. ومن ضمن الأدوات التي تبعتها في هذا المجال هو إنشاء هذا الجهاز. هذا الجهاز يكون أداة من أدوات تحسين مخرجات التعليم في دبي. وتبعنا عدة نظم في هذا الموضوع. وجدنا الدول الأخرى؛ الدول الأوروبية، والدول مثل سنغافورة المتقدمة، وأخذنا أحسن"" البراكتس"" الموجودة، وأفضل المخرجات الموجودة، ونعمل بها إنشاء الله في دبي.

المضيف: من هم المستفيدين من هذا الجهاز؟

الضيفة: المستفيد  ...""المين""... الأساسي في هذا الموضوع هو ولي الأمر. ولي الأمر لما يحصل على تقارير واضحة، وعن كيفية التعليم في هذه المدرسة، وما هي المعايير الموجودة في هالمدرسة. سوف يطمئن أن يحصل على أحسن أو أفضل الخرج التعليمي الموجود في هذه المدرسة. الجهاز سوف يقوم بدور فعال في هذا الموضوع بالنسبة للمدارس الخاصة، وبالنسبة للمدارس الحكومية. وأيضاً المستفيد الآخر هو المدارس. المدارس سوف تطمئن على تحسين وضعها. نحن سنكشف عليها، ونراقب على المدارس. لكن هي بتحط المواطن من القوة فيها. وهي بسير طبعاً على تحسين هذا المخرج ليستفيد منها أولياء الأمور، ويحددون بالضبط أين يودون عيالهم، وما هي الأساليب التي يتبع بها.

المضيف: بالنسبة لهذه التقييمات هل تكون فصلية أم سنوية؟

الضيفة: أعتقد أنها تكون في المرحلة هذه، مرحلة دراسة بالنسبة إلنا. أعتقد إنها تكون في سنة 2008 ، إنشاء الله في سبتمبر تشمل الرقابة على كافة المدارس الحكومية والخاصة. الشيء المميز أنه نحن يكون لنا أنه عندنا 13 منهاج أو 14 منهاج تعليمي بالإضافة إلى مناهج وزارة التربية والتعليم. فهذا كل ما يكون دور الجهاز هو يعمل على مراقبة هذه المدارس، ووضع المعايير لهذه المدارس.

الضيف: بالنسبة للمعايير التي سيتم اعتمادها كيف تقاس؟

المضيفة: المعايير طبعاٌ مثل ما تعرف خطة دبي الاستراتيجية ركزت على اللغة العربية، والتربية الإسلامية، والهوية الوطنية. فمن ضمن الأولويات يكون التركيز على هذا بالإضافة إلى طبعاً العلوم، والرياضيات. بالإضافة طبعاً إلى المعايير الأخرى العالمية التي أخذناها في اعتبارنا، التي هي مثلاً مدى تطور أداء الطلبة في المدرسة. مدى تطور مستوى الطلبة الاجتماعي والشخصي في المدرسة. كيفية أهم شيء مدى جودة وطرق التدريس الموجودة في المدرسة.

الضيف: سيدة جميلة، آلية عمل جهاز الرقابة المدرسية؟ ومن متى سيطبق هذا؟

الضيفة: إنشاء الله مثلما قلت في سبتمبر 2008 يكون الفريد من نوعه، أن أول مرة في الشرق الأوسط يكون مثل هذا الجهاز، والشفافية التي تكون، نحن نعمل فيها بيننا وبين أولياء الأمور. يعني يكون في تقرير لكل مدرسة.
",B+
"أفاد تقرير مكتب الأمم المتحدة المعني بمكافحة المخدرات والجريمة بأن إنتاج الأفيون في أفغانستان ارتفع إلى مستويات غير مسبوقة في العام الحالي وخاصة في جنوب البلاد.

المزيد في تقرير ريم أباظة:

أظهر التقرير السنوي لمكتب الأمم المتحدة المعني بمكافحة المخدرات والجريمة أن عدد المقاطعات الأفغانية الخالية من زراعة نبات الخشخاش تضاعف عن العام الماضي إلاَّ أن مساحة الأراضي المستغلة في زراعة النبات اتسعت من 165،000 هكتار إلى 193،000 في العام الحالي. وأكد التقرير أن إنتاج الأفيون في أفغانستان قد ارتفع ليصل إلى مستويات غير مسبوقة ليتعدى إنتاج المخدرات في أية دولة أخرى في العالم منذ القرن التاسع عشر.

وقالت آنيا كورنبليك، مسئولة برنامج رصد المحاصيل غير المشروعة بالمكتب إن إجمال محصول الأفيون للعام الحالي يقدر ب 8200 طن بارتفاع يزيد عن 20 طن عن العام الماضي. وأضافت في حوار مع إذاعة الأمم المتحدة:

""نجد تلك الزيادة في مناطق بالجنوب وجنوب الوسط حيث يوجد المتمردون وتزداد الأوضاع الأمنية خطورة فلا يتمكن عمال الإغاثة من توصيل المساعدات إلى المحتاجين ويستغل أعضاء حركة طالبان الفرصة لتشجيع السكان على زراعة الأفيون"".

وأشارت آنيا كورنبليك إلى أن عدد المقاطعات الخالية من زراعة الأفيون زاد من 6 إلى 13 مقاطعة:

